amfi_code,beta,alpha_annual_pct,r_squared,p_value,scheme_name
100000,0.987,-3.497,0.685,0.0,SBI MF Large Cap Fund - Direct Growth
100001,0.7,-9.316,0.321,0.0,ICICI Prudential Mid Cap Fund - Direct Growth
100002,0.933,0.126,0.67,0.0,HDFC MF Small Cap Fund - Direct Growth
100003,1.205,-5.158,0.371,0.0,Axis MF Flexi Cap Fund - Direct Growth
100004,1.114,18.128,0.647,0.0,Kotak MF ELSS Fund - Direct Growth
100005,0.907,-9.766,0.268,0.0,Nippon India Large Cap Fund - Direct Growth
100006,0.897,12.314,0.635,0.0,UTI MF Mid Cap Fund - Direct Growth
100007,0.995,5.499,0.622,0.0,Mirae Asset Small Cap Fund - Direct Growth
100008,1.028,11.379,0.517,0.0,Franklin Templeton Flexi Cap Fund - Direct Growth
100009,1.206,10.436,0.617,0.0,DSP MF ELSS Fund - Direct Growth
100010,0.752,16.529,0.202,0.0,SBI MF Large Cap Fund - Direct Growth
100011,1.212,16.765,0.691,0.0,ICICI Prudential Mid Cap Fund - Direct Growth
100012,0.814,2.065,0.307,0.0,HDFC MF Small Cap Fund - Direct Growth
100013,0.849,5.925,0.667,0.0,Axis MF Flexi Cap Fund - Direct Growth
100014,1.138,-6.231,0.703,0.0,Kotak MF ELSS Fund - Direct Growth
100015,0.782,-3.152,0.21,0.0,Nippon India Large Cap Fund - Direct Growth
100016,1.288,7.17,0.638,0.0,UTI MF Mid Cap Fund - Direct Growth
100017,0.938,10.229,0.497,0.0,Mirae Asset Small Cap Fund - Direct Growth
100018,0.778,2.277,0.317,0.0,Franklin Templeton Flexi Cap Fund - Direct Growth
100019,0.947,6.708,0.363,0.0,DSP MF ELSS Fund - Direct Growth
100020,0.847,1.898,0.489,0.0,SBI MF Large Cap Fund - Direct Growth
100021,0.766,-9.911,0.427,0.0,ICICI Prudential Mid Cap Fund - Direct Growth
100022,1.113,-0.904,0.543,0.0,HDFC MF Small Cap Fund - Direct Growth
100023,1.269,7.045,0.824,0.0,Axis MF Flexi Cap Fund - Direct Growth
100024,1.235,-3.983,0.659,0.0,Kotak MF ELSS Fund - Direct Growth
100025,0.955,-3.906,0.667,0.0,Nippon India Large Cap Fund - Direct Growth
100026,0.857,3.647,0.496,0.0,UTI MF Mid Cap Fund - Direct Growth
100027,1.234,3.824,0.427,0.0,Mirae Asset Small Cap Fund - Direct Growth
100028,0.94,13.814,0.552,0.0,Franklin Templeton Flexi Cap Fund - Direct Growth
100029,1.205,-10.626,0.794,0.0,DSP MF ELSS Fund - Direct Growth
100030,1.251,17.295,0.511,0.0,SBI MF Large Cap Fund - Direct Growth
100031,1.249,-4.33,0.559,0.0,ICICI Prudential Mid Cap Fund - Direct Growth
100032,1.033,10.642,0.408,0.0,HDFC MF Small Cap Fund - Direct Growth
100033,0.888,8.52,0.518,0.0,Axis MF Flexi Cap Fund - Direct Growth
100034,0.957,-21.316,0.628,0.0,Kotak MF ELSS Fund - Direct Growth
100035,0.948,27.183,0.302,0.0,Nippon India Large Cap Fund - Direct Growth
100036,1.131,0.454,0.719,0.0,UTI MF Mid Cap Fund - Direct Growth
100037,1.221,4.248,0.685,0.0,Mirae Asset Small Cap Fund - Direct Growth
100038,0.876,-1.816,0.365,0.0,Franklin Templeton Flexi Cap Fund - Direct Growth
100039,1.259,11.416,0.693,0.0,DSP MF ELSS Fund - Direct Growth
