fund_id,nav_date,nav_value,daily_return,rolling_30d_vol
MF_EQUITY_001,2023-01-02,86.3309,-0.012843,
MF_EQUITY_001,2023-01-03,86.7044,0.004327,
MF_EQUITY_001,2023-01-04,87.0381,0.003848,
MF_EQUITY_001,2023-01-05,88.1371,0.012626,
MF_EQUITY_001,2023-01-06,87.5668,-0.006471,0.15861
MF_EQUITY_001,2023-01-09,87.0587,-0.005802,0.147269
MF_EQUITY_001,2023-01-10,86.5053,-0.006357,0.138628
MF_EQUITY_001,2023-01-11,85.5893,-0.010589,0.13806
MF_EQUITY_001,2023-01-12,82.9488,-0.030851,0.197318
MF_EQUITY_001,2023-01-13,83.9363,0.011904,0.20615
MF_EQUITY_001,2023-01-16,84.8006,0.010297,0.207231
MF_EQUITY_001,2023-01-17,83.2923,-0.017787,0.209304
MF_EQUITY_001,2023-01-18,82.9061,-0.004637,0.200415
MF_EQUITY_001,2023-01-19,82.209,-0.008409,0.193448
MF_EQUITY_001,2023-01-20,81.5562,-0.00794,0.186995
MF_EQUITY_001,2023-01-23,79.503,-0.025175,0.198285
MF_EQUITY_001,2023-01-24,78.9422,-0.007054,0.192043
MF_EQUITY_001,2023-01-25,79.5479,0.007673,0.193143
MF_EQUITY_001,2023-01-26,82.0309,0.031214,0.22978
MF_EQUITY_001,2023-01-27,82.46,0.005231,0.225676
MF_EQUITY_001,2023-01-30,82.6221,0.001967,0.220591
MF_EQUITY_001,2023-01-31,82.1524,-0.005685,0.215526
MF_EQUITY_001,2023-02-01,81.6018,-0.006703,0.210977
MF_EQUITY_001,2023-02-02,82.5703,0.011869,0.211833
MF_EQUITY_001,2023-02-03,82.9,0.003992,0.208334
MF_EQUITY_001,2023-02-06,82.3092,-0.007127,0.204735
MF_EQUITY_001,2023-02-07,81.3413,-0.011759,0.202851
MF_EQUITY_001,2023-02-08,81.2241,-0.001441,0.199089
MF_EQUITY_001,2023-02-09,80.7446,-0.005904,0.19575
MF_EQUITY_001,2023-02-10,80.7796,0.000434,0.192556
MF_EQUITY_001,2023-02-13,80.5976,-0.002253,0.190078
MF_EQUITY_001,2023-02-14,81.0144,0.005172,0.190346
MF_EQUITY_001,2023-02-15,79.825,-0.014681,0.192798
MF_EQUITY_001,2023-02-16,80.9109,0.013604,0.193498
MF_EQUITY_001,2023-02-17,83.6489,0.03384,0.220233
MF_EQUITY_001,2023-02-20,84.8889,0.014824,0.224743
MF_EQUITY_001,2023-02-21,85.1541,0.003124,0.224365
MF_EQUITY_001,2023-02-22,86.0977,0.011081,0.224628
MF_EQUITY_001,2023-02-23,85.0982,-0.011609,0.207732
MF_EQUITY_001,2023-02-24,83.5239,-0.0185,0.212419
MF_EQUITY_001,2023-02-27,84.3411,0.009784,0.212206
MF_EQUITY_001,2023-02-28,83.8387,-0.005958,0.206324
MF_EQUITY_001,2023-03-01,82.5257,-0.01566,0.211036
MF_EQUITY_001,2023-03-02,81.6949,-0.010067,0.211659
MF_EQUITY_001,2023-03-03,80.6275,-0.013067,0.213815
MF_EQUITY_001,2023-03-06,80.7978,0.002113,0.20043
MF_EQUITY_001,2023-03-07,81.4027,0.007485,0.200025
MF_EQUITY_001,2023-03-08,82.3105,0.011153,0.201269
MF_EQUITY_001,2023-03-09,83.2351,0.011232,0.182881
MF_EQUITY_001,2023-03-10,84.0308,0.00956,0.184269
MF_EQUITY_001,2023-03-13,83.8639,-0.001986,0.184388
MF_EQUITY_001,2023-03-14,83.2784,-0.006982,0.184808
MF_EQUITY_001,2023-03-15,81.8129,-0.017598,0.191098
MF_EQUITY_001,2023-03-16,82.9333,0.013696,0.192142
MF_EQUITY_001,2023-03-17,82.7979,-0.001633,0.191873
MF_EQUITY_001,2023-03-20,82.4316,-0.004425,0.191156
MF_EQUITY_001,2023-03-21,83.6398,0.014657,0.192221
MF_EQUITY_001,2023-03-22,82.7801,-0.010278,0.194884
MF_EQUITY_001,2023-03-23,83.6507,0.010518,0.195854
MF_EQUITY_001,2023-03-24,83.9902,0.004059,0.196004
MF_EQUITY_001,2023-03-27,82.9862,-0.011954,0.199548
MF_EQUITY_001,2023-03-28,82.9522,-0.00041,0.199202
MF_EQUITY_001,2023-03-29,83.9622,0.012176,0.196174
MF_EQUITY_001,2023-03-30,84.8058,0.010047,0.194572
MF_EQUITY_001,2023-03-31,86.37,0.018445,0.176732
MF_EQUITY_001,2023-04-03,86.7637,0.004558,0.172267
MF_EQUITY_001,2023-04-04,90.3182,0.040968,0.207952
MF_EQUITY_001,2023-04-05,89.3659,-0.010545,0.20923
MF_EQUITY_001,2023-04-06,88.983,-0.004284,0.206352
MF_EQUITY_001,2023-04-07,88.9625,-0.00023,0.197516
MF_EQUITY_001,2023-04-10,87.4924,-0.016525,0.203346
MF_EQUITY_001,2023-04-11,88.6307,0.01301,0.204886
MF_EQUITY_001,2023-04-12,89.636,0.011342,0.199615
MF_EQUITY_001,2023-04-13,89.7012,0.000728,0.195971
MF_EQUITY_001,2023-04-14,89.1708,-0.005913,0.191867
MF_EQUITY_001,2023-04-17,87.6156,-0.017441,0.201179
MF_EQUITY_001,2023-04-18,86.8296,-0.008971,0.203476
MF_EQUITY_001,2023-04-19,87.648,0.009425,0.202879
MF_EQUITY_001,2023-04-20,87.4686,-0.002046,0.201372
MF_EQUITY_001,2023-04-21,87.0643,-0.004622,0.200775
MF_EQUITY_001,2023-04-24,87.6318,0.006517,0.201093
MF_EQUITY_001,2023-04-25,88.8935,0.014398,0.202757
MF_EQUITY_001,2023-04-26,89.2122,0.003585,0.193832
MF_EQUITY_001,2023-04-27,89.5935,0.004274,0.191203
MF_EQUITY_001,2023-04-28,91.1132,0.016962,0.195141
MF_EQUITY_001,2023-05-01,91.3507,0.002607,0.193791
MF_EQUITY_001,2023-05-02,91.0574,-0.003211,0.191763
MF_EQUITY_001,2023-05-03,91.8384,0.008578,0.188252
MF_EQUITY_001,2023-05-04,91.6015,-0.00258,0.187858
MF_EQUITY_001,2023-05-05,91.243,-0.003914,0.188921
MF_EQUITY_001,2023-05-08,92.6832,0.015785,0.187153
MF_EQUITY_001,2023-05-09,92.4049,-0.003003,0.187805
MF_EQUITY_001,2023-05-10,89.5069,-0.031362,0.21156
MF_EQUITY_001,2023-05-11,89.9227,0.004646,0.2104
MF_EQUITY_001,2023-05-12,89.5409,-0.004246,0.20524
MF_EQUITY_001,2023-05-15,89.275,-0.00297,0.205356
MF_EQUITY_001,2023-05-16,89.8049,0.005935,0.167825
MF_EQUITY_001,2023-05-17,89.6708,-0.001493,0.164973
MF_EQUITY_001,2023-05-18,89.9469,0.003079,0.164627
MF_EQUITY_001,2023-05-19,87.8091,-0.023768,0.178937
MF_EQUITY_001,2023-05-22,86.8593,-0.010817,0.175185
MF_EQUITY_001,2023-05-23,88.3661,0.017348,0.178445
MF_EQUITY_001,2023-05-24,88.3906,0.000277,0.175164
MF_EQUITY_001,2023-05-25,86.6597,-0.019582,0.183703
MF_EQUITY_001,2023-05-26,85.5877,-0.01237,0.186115
MF_EQUITY_001,2023-05-29,84.6111,-0.011411,0.182353
MF_EQUITY_001,2023-05-30,84.7573,0.001728,0.180971
MF_EQUITY_001,2023-05-31,84.3597,-0.004691,0.17869
MF_EQUITY_001,2023-06-01,83.7345,-0.00741,0.179581
MF_EQUITY_001,2023-06-02,83.7804,0.000547,0.179398
MF_EQUITY_001,2023-06-05,84.3026,0.006233,0.179293
MF_EQUITY_001,2023-06-06,84.0827,-0.002608,0.173081
MF_EQUITY_001,2023-06-07,83.5448,-0.006397,0.172803
MF_EQUITY_001,2023-06-08,83.1641,-0.004558,0.171853
MF_EQUITY_001,2023-06-09,83.5448,0.004578,0.163247
MF_EQUITY_001,2023-06-12,83.5791,0.000411,0.162734
MF_EQUITY_001,2023-06-13,84.3905,0.009708,0.166782
MF_EQUITY_001,2023-06-14,83.2683,-0.013298,0.166232
MF_EQUITY_001,2023-06-15,82.5352,-0.008804,0.167005
MF_EQUITY_001,2023-06-16,83.3422,0.009778,0.171308
MF_EQUITY_001,2023-06-19,82.582,-0.009122,0.162617
MF_EQUITY_001,2023-06-20,83.9948,0.017108,0.17354
MF_EQUITY_001,2023-06-21,85.4532,0.017362,0.161682
MF_EQUITY_001,2023-06-22,86.9236,0.017208,0.169726
MF_EQUITY_001,2023-06-23,86.0485,-0.010068,0.171501
MF_EQUITY_001,2023-06-26,86.1709,0.001423,0.171595
MF_EQUITY_001,2023-06-27,85.7038,-0.005421,0.17069
MF_EQUITY_001,2023-06-28,86.6961,0.011578,0.174849
MF_EQUITY_001,2023-06-29,88.5149,0.020979,0.185884
MF_EQUITY_001,2023-06-30,89.487,0.010983,0.175001
MF_EQUITY_001,2023-07-03,89.5416,0.00061,0.171572
MF_EQUITY_001,2023-07-04,89.1936,-0.003886,0.164977
MF_EQUITY_001,2023-07-05,89.9329,0.008289,0.166568
MF_EQUITY_001,2023-07-06,88.6582,-0.014174,0.161527
MF_EQUITY_001,2023-07-07,89.2731,0.006936,0.157478
MF_EQUITY_001,2023-07-10,88.3379,-0.010476,0.156837
MF_EQUITY_001,2023-07-11,89.0398,0.007947,0.157952
MF_EQUITY_001,2023-07-12,88.9124,-0.001431,0.157088
MF_EQUITY_001,2023-07-13,88.5426,-0.004159,0.155708
MF_EQUITY_001,2023-07-14,87.646,-0.010126,0.159544
