overall_rank,amfi_code,scheme_name,fund_house,expense_ratio_pct,cagr_3yr_pct,sharpe_ratio,alpha_annual_pct,beta,max_drawdown_pct,rank_3yr_return,rank_sharpe,rank_alpha,rank_expense_inv,rank_max_dd_inv,fund_score
1,100035,Nippon India Large Cap Fund - Direct Growth,Nippon India,0.71,53.15,1.119,27.183,0.948,-27.48,100.0,100.0,100.0,82.05128205128204,69.23076923076923,94.23
2,100030,SBI MF Large Cap Fund - Direct Growth,SBI MF,0.6,27.32,0.883,17.295,1.251,-27.57,89.74358974358975,92.3076923076923,94.87179487179486,87.17948717948718,66.66666666666666,88.72
3,100004,Kotak MF ELSS Fund - Direct Growth,Kotak MF,1.27,31.51,1.082,18.128,1.114,-22.16,94.87179487179486,97.43589743589743,97.43589743589743,35.8974358974359,87.17948717948718,86.41
4,100010,SBI MF Large Cap Fund - Direct Growth,SBI MF,0.74,38.91,0.684,16.529,0.752,-24.64,97.43589743589743,76.92307692307693,89.74358974358975,76.92307692307693,79.48717948717949,85.9
5,100006,UTI MF Mid Cap Fund - Direct Growth,UTI MF,0.92,25.41,0.881,12.314,0.897,-17.91,84.61538461538461,89.74358974358975,84.61538461538461,64.1025641025641,100.0,84.36
6,100039,DSP MF ELSS Fund - Direct Growth,DSP MF,0.84,27.33,0.789,11.416,1.259,-29.09,92.3076923076923,84.61538461538461,82.05128205128204,71.7948717948718,61.53846153846154,82.18
7,100009,DSP MF ELSS Fund - Direct Growth,DSP MF,0.53,24.93,0.714,10.436,1.206,-31.63,82.05128205128204,79.48717948717949,74.35897435897436,96.15384615384616,53.84615384615385,79.17
8,100011,ICICI Prudential Mid Cap Fund - Direct Growth,ICICI Prudential,1.2,24.14,1.019,16.765,1.212,-25.35,76.92307692307693,94.87179487179486,92.3076923076923,41.02564102564102,76.92307692307693,79.1
9,100028,Franklin Templeton Flexi Cap Fund - Direct Growth,Franklin Templeton,1.69,24.62,0.88,13.814,0.94,-21.19,79.48717948717949,87.17948717948718,87.17948717948718,10.256410256410255,94.87179487179486,74.1
10,100032,HDFC MF Small Cap Fund - Direct Growth,HDFC MF,0.9,17.43,0.61,10.642,1.033,-23.79,66.66666666666666,66.66666666666666,76.92307692307693,67.94871794871796,84.61538461538461,70.71
11,100033,Axis MF Flexi Cap Fund - Direct Growth,Axis MF,1.42,19.66,0.611,8.52,0.888,-18.9,71.7948717948718,69.23076923076923,69.23076923076923,25.64102564102564,97.43589743589743,66.28
12,100023,Axis MF Flexi Cap Fund - Direct Growth,Axis MF,0.4,12.52,0.669,7.045,1.269,-26.63,43.58974358974359,71.7948717948718,64.1025641025641,100.0,74.35897435897436,66.28
13,100017,Mirae Asset Small Cap Fund - Direct Growth,Mirae Asset,1.44,17.85,0.672,10.229,0.938,-24.52,69.23076923076923,74.35897435897436,71.7948717948718,20.51282051282051,82.05128205128204,65.0
14,100007,Mirae Asset Small Cap Fund - Direct Growth,Mirae Asset,0.61,21.24,0.512,5.499,0.995,-38.47,74.35897435897436,58.97435897435898,56.41025641025641,84.61538461538461,35.8974358974359,64.62
15,100008,Franklin Templeton Flexi Cap Fund - Direct Growth,Franklin Templeton,0.93,13.24,0.719,11.379,1.028,-41.94,48.717948717948715,82.05128205128204,79.48717948717949,61.53846153846154,28.205128205128204,63.08
16,100027,Mirae Asset Small Cap Fund - Direct Growth,Mirae Asset,1.03,25.51,0.378,3.824,1.234,-43.49,87.17948717948718,51.28205128205128,51.28205128205128,51.28205128205128,23.076923076923077,59.23
17,100037,Mirae Asset Small Cap Fund - Direct Growth,Mirae Asset,0.9,15.16,0.496,4.248,1.221,-30.83,56.41025641025641,56.41025641025641,53.84615384615385,67.94871794871796,56.41025641025641,57.63
18,100013,Axis MF Flexi Cap Fund - Direct Growth,Axis MF,1.21,13.31,0.547,5.925,0.849,-21.7,51.28205128205128,61.53846153846154,58.97435897435898,38.46153846153847,92.3076923076923,57.56
19,100016,UTI MF Mid Cap Fund - Direct Growth,UTI MF,0.94,7.07,0.593,7.17,1.288,-29.79,35.8974358974359,64.1025641025641,66.66666666666666,58.97435897435898,58.97435897435898,54.87
20,100002,HDFC MF Small Cap Fund - Direct Growth,HDFC MF,0.56,12.66,0.242,0.126,0.933,-22.07,46.15384615384615,41.02564102564102,35.8974358974359,92.3076923076923,89.74358974358975,54.1
21,100036,UTI MF Mid Cap Fund - Direct Growth,UTI MF,1.36,16.15,0.327,0.454,1.131,-36.87,64.1025641025641,46.15384615384615,38.46153846153847,28.205128205128204,43.58974358974359,47.05
22,100019,DSP MF ELSS Fund - Direct Growth,DSP MF,0.82,-1.0,0.436,6.708,0.947,-39.93,20.51282051282051,53.84615384615385,61.53846153846154,74.35897435897436,33.33333333333333,46.41
