amfi_code,fund_house,scheme_name,category,sub_category,plan,launch_date,benchmark,expense_ratio_pct,exit_load_pct,min_sip_amount,min_lumpsum_amount,fund_manager,risk_category,sebi_category_code
100000,SBI MF,SBI MF Large Cap Fund - Direct Growth,Equity,Large Cap,Direct,2013-08-01,Nifty 100,1.54,1.0,2500,1000,Manager A,Moderate,EQ-1
100001,ICICI Prudential,ICICI Prudential Mid Cap Fund - Direct Growth,Equity,Mid Cap,Direct,2013-08-01,Nifty 50,1.02,1.0,2500,10000,Manager B,Moderate,EQ-2
100002,HDFC MF,HDFC MF Small Cap Fund - Direct Growth,Equity,Small Cap,Direct,2016-08-01,Nifty 100,0.56,1.0,1000,1000,Manager C,Moderately High,EQ-3
100003,Axis MF,Axis MF Flexi Cap Fund - Direct Growth,Equity,Flexi Cap,Direct,2012-08-01,Nifty 50,1.6,0.5,1000,1000,Manager D,Moderate,EQ-4
100004,Kotak MF,Kotak MF ELSS Fund - Direct Growth,Equity,ELSS,Direct,2008-08-01,Nifty 100,1.27,0.0,500,1000,Manager E,High,EQ-5
100005,Nippon India,Nippon India Large Cap Fund - Direct Growth,Equity,Large Cap,Direct,2009-08-01,Nifty 50,0.95,1.0,1000,5000,Manager F,High,EQ-6
100006,UTI MF,UTI MF Mid Cap Fund - Direct Growth,Equity,Mid Cap,Direct,2017-08-01,Nifty 100,0.92,0.0,2500,1000,Manager G,High,EQ-7
100007,Mirae Asset,Mirae Asset Small Cap Fund - Direct Growth,Equity,Small Cap,Direct,2013-08-01,Nifty 50,0.61,1.0,1000,1000,Manager H,Moderately High,EQ-8
100008,Franklin Templeton,Franklin Templeton Flexi Cap Fund - Direct Growth,Equity,Flexi Cap,Direct,2018-08-01,Nifty 100,0.93,0.5,500,5000,Manager I,High,EQ-9
100009,DSP MF,DSP MF ELSS Fund - Direct Growth,Equity,ELSS,Direct,2008-08-01,Nifty 50,0.53,0.0,2500,10000,Manager J,Moderately High,EQ-10
100010,SBI MF,SBI MF Large Cap Fund - Direct Growth,Equity,Large Cap,Direct,2019-08-01,Nifty 100,0.74,0.5,1000,5000,Manager K,Moderately High,EQ-1
100011,ICICI Prudential,ICICI Prudential Mid Cap Fund - Direct Growth,Equity,Mid Cap,Direct,2010-08-01,Nifty 50,1.2,0.0,2500,5000,Manager L,Moderately High,EQ-2
100012,HDFC MF,HDFC MF Small Cap Fund - Direct Growth,Equity,Small Cap,Direct,2008-08-01,Nifty 100,1.76,0.5,1000,10000,Manager M,High,EQ-3
100013,Axis MF,Axis MF Flexi Cap Fund - Direct Growth,Equity,Flexi Cap,Direct,2012-08-01,Nifty 50,1.21,0.0,1000,1000,Manager N,Moderate,EQ-4
100014,Kotak MF,Kotak MF ELSS Fund - Direct Growth,Equity,ELSS,Direct,2018-08-01,Nifty 100,1.16,0.5,500,1000,Manager O,Moderate,EQ-5
100015,Nippon India,Nippon India Large Cap Fund - Direct Growth,Equity,Large Cap,Direct,2007-08-01,Nifty 50,1.55,0.0,500,10000,Manager P,Moderate,EQ-6
100016,UTI MF,UTI MF Mid Cap Fund - Direct Growth,Equity,Mid Cap,Direct,2012-08-01,Nifty 100,0.94,1.0,2500,10000,Manager Q,Moderate,EQ-7
100017,Mirae Asset,Mirae Asset Small Cap Fund - Direct Growth,Equity,Small Cap,Direct,2012-08-01,Nifty 50,1.44,0.0,2500,1000,Manager R,Moderately High,EQ-8
100018,Franklin Templeton,Franklin Templeton Flexi Cap Fund - Direct Growth,Equity,Flexi Cap,Direct,2013-08-01,Nifty 100,1.33,1.0,500,5000,Manager S,Moderate,EQ-9
100019,DSP MF,DSP MF ELSS Fund - Direct Growth,Equity,ELSS,Direct,2013-08-01,Nifty 50,0.82,0.0,2500,5000,Manager T,High,EQ-10
100020,SBI MF,SBI MF Large Cap Fund - Direct Growth,Equity,Large Cap,Direct,2017-08-01,Nifty 100,1.06,0.0,2500,5000,Manager U,High,EQ-1
100021,ICICI Prudential,ICICI Prudential Mid Cap Fund - Direct Growth,Equity,Mid Cap,Direct,2019-08-01,Nifty 50,1.43,1.0,2500,5000,Manager V,High,EQ-2
100022,HDFC MF,HDFC MF Small Cap Fund - Direct Growth,Equity,Small Cap,Direct,2009-08-01,Nifty 100,1.13,1.0,1000,5000,Manager W,Moderate,EQ-3
100023,Axis MF,Axis MF Flexi Cap Fund - Direct Growth,Equity,Flexi Cap,Direct,2017-08-01,Nifty 50,0.4,1.0,500,1000,Manager X,Moderately High,EQ-4
100024,Kotak MF,Kotak MF ELSS Fund - Direct Growth,Equity,ELSS,Direct,2015-08-01,Nifty 100,0.72,0.0,2500,10000,Manager Y,Moderate,EQ-5
100025,Nippon India,Nippon India Large Cap Fund - Direct Growth,Equity,Large Cap,Direct,2016-08-01,Nifty 50,1.76,1.0,2500,10000,Manager Z,Moderately High,EQ-6
100026,UTI MF,UTI MF Mid Cap Fund - Direct Growth,Equity,Mid Cap,Direct,2008-08-01,Nifty 100,1.74,0.0,1000,1000,Manager A,Moderate,EQ-7
100027,Mirae Asset,Mirae Asset Small Cap Fund - Direct Growth,Equity,Small Cap,Direct,2014-08-01,Nifty 50,1.03,0.5,1000,10000,Manager B,Moderately High,EQ-8
100028,Franklin Templeton,Franklin Templeton Flexi Cap Fund - Direct Growth,Equity,Flexi Cap,Direct,2013-08-01,Nifty 100,1.69,1.0,1000,1000,Manager C,Moderate,EQ-9
100029,DSP MF,DSP MF ELSS Fund - Direct Growth,Equity,ELSS,Direct,2011-08-01,Nifty 50,1.32,0.0,500,1000,Manager D,High,EQ-10
100030,SBI MF,SBI MF Large Cap Fund - Direct Growth,Equity,Large Cap,Direct,2013-08-01,Nifty 100,0.6,1.0,500,5000,Manager E,Moderate,EQ-1
100031,ICICI Prudential,ICICI Prudential Mid Cap Fund - Direct Growth,Equity,Mid Cap,Direct,2019-08-01,Nifty 50,0.53,1.0,2500,5000,Manager F,Moderate,EQ-2
100032,HDFC MF,HDFC MF Small Cap Fund - Direct Growth,Equity,Small Cap,Direct,2016-08-01,Nifty 100,0.9,0.0,1000,5000,Manager G,High,EQ-3
100033,Axis MF,Axis MF Flexi Cap Fund - Direct Growth,Equity,Flexi Cap,Direct,2018-08-01,Nifty 50,1.42,0.0,500,1000,Manager H,High,EQ-4
