date,amfi_code,nav,daily_return
2021-08-02,100000,115.447,
2021-08-03,100000,115.1495,
2021-08-04,100000,112.9253,
2021-08-05,100000,114.3734,
2021-08-06,100000,114.453,
2021-08-09,100000,116.5961,
2021-08-10,100000,117.6178,
2021-08-11,100000,114.8791,
2021-08-12,100000,116.1153,
2021-08-13,100000,117.3971,
2021-08-16,100000,117.8808,
2021-08-17,100000,118.5962,
2021-08-18,100000,120.4709,
2021-08-19,100000,119.4198,
2021-08-20,100000,118.4448,
2021-08-23,100000,118.0564,
2021-08-24,100000,119.1931,
2021-08-25,100000,120.4887,
2021-08-26,100000,119.5804,
2021-08-27,100000,120.3188,
2021-08-30,100000,118.854,
2021-08-31,100000,119.2304,
2021-09-01,100000,116.3596,
2021-09-02,100000,117.9013,
2021-09-03,100000,119.0008,
2021-09-06,100000,118.3913,
2021-09-07,100000,115.5136,
2021-09-08,100000,115.5666,
2021-09-09,100000,116.3794,
2021-09-10,100000,112.7875,
2021-09-13,100000,111.9699,
2021-09-14,100000,112.7736,
2021-09-15,100000,112.753,
2021-09-16,100000,112.3821,
2021-09-17,100000,109.6704,
2021-09-20,100000,110.9945,
2021-09-21,100000,112.3734,
2021-09-22,100000,110.5536,
2021-09-23,100000,111.3351,
2021-09-24,100000,112.9136,
2021-09-27,100000,113.4274,
2021-09-28,100000,114.7717,
2021-09-29,100000,111.4598,
2021-09-30,100000,110.5596,
2021-10-01,100000,109.3175,
2021-10-04,100000,112.6445,
2021-10-05,100000,112.125,
2021-10-06,100000,113.1396,
2021-10-07,100000,111.9602,
2021-10-08,100000,112.6059,
2021-10-11,100000,114.447,
2021-10-12,100000,116.6878,
2021-10-13,100000,118.0935,
2021-10-14,100000,116.3359,
2021-10-15,100000,117.0832,
2021-10-18,100000,119.3195,
2021-10-19,100000,119.944,
2021-10-20,100000,121.9213,
2021-10-21,100000,119.3568,
2021-10-22,100000,121.2876,
2021-10-25,100000,121.4243,
2021-10-26,100000,118.339,
2021-10-27,100000,118.2862,
2021-10-28,100000,118.0429,
2021-10-29,100000,116.2549,
2021-11-01,100000,114.7031,
2021-11-02,100000,114.9392,
2021-11-03,100000,115.2018,
2021-11-04,100000,113.9286,
2021-11-05,100000,114.0395,
2021-11-08,100000,114.8116,
2021-11-09,100000,117.4133,
2021-11-10,100000,115.864,
2021-11-11,100000,114.6786,
2021-11-12,100000,114.6005,
2021-11-15,100000,116.9562,
2021-11-16,100000,116.7262,
2021-11-17,100000,117.518,
2021-11-18,100000,115.5441,
2021-11-19,100000,114.472,
2021-11-22,100000,115.341,
2021-11-23,100000,112.9143,
2021-11-24,100000,111.0475,
2021-11-25,100000,109.9559,
2021-11-26,100000,110.591,
2021-11-29,100000,108.8872,
2021-11-30,100000,109.3429,
2021-12-01,100000,110.8331,
2021-12-02,100000,111.7017,
2021-12-03,100000,111.856,
2021-12-06,100000,112.2475,
2021-12-07,100000,111.1335,
2021-12-08,100000,112.2087,
2021-12-09,100000,110.7574,
2021-12-10,100000,111.3814,
2021-12-13,100000,111.6355,
2021-12-14,100000,110.7262,
2021-12-15,100000,106.9202,
2021-12-16,100000,106.7286,
2021-12-17,100000,108.4223,
2021-12-20,100000,110.5392,
2021-12-21,100000,110.8231,
2021-12-22,100000,109.5737,
2021-12-23,100000,109.1264,
2021-12-24,100000,110.0036,
2021-12-27,100000,109.3629,
2021-12-28,100000,110.4367,
2021-12-29,100000,109.0818,
2021-12-30,100000,107.6589,
2021-12-31,100000,107.2532,
2022-01-03,100000,108.8587,
2022-01-04,100000,108.1236,
2022-01-05,100000,107.1497,
2022-01-06,100000,107.5181,
2022-01-07,100000,108.8032,
2022-01-10,100000,108.2532,
2022-01-11,100000,108.3186,
2022-01-12,100000,108.0816,
2022-01-13,100000,107.7689,
2022-01-14,100000,105.6841,
2022-01-17,100000,103.4528,
2022-01-18,100000,103.5342,
2022-01-19,100000,103.8448,
2022-01-20,100000,103.9829,
2022-01-21,100000,103.5296,
2022-01-24,100000,103.053,
2022-01-25,100000,103.3301,
2022-01-26,100000,103.9558,
2022-01-27,100000,104.0493,
2022-01-28,100000,102.447,
2022-01-31,100000,103.3153,
2022-02-01,100000,101.6093,
2022-02-02,100000,104.7109,
2022-02-03,100000,104.0135,
2022-02-04,100000,104.9648,
2022-02-07,100000,104.2113,
2022-02-08,100000,103.4421,
2022-02-09,100000,102.9033,
2022-02-10,100000,103.4715,
2022-02-11,100000,104.283,
2022-02-14,100000,103.3231,
2022-02-15,100000,103.5706,
2022-02-16,100000,106.8167,
2022-02-17,100000,106.6758,
2022-02-18,100000,107.4007,
2022-02-21,100000,106.7579,
2022-02-22,100000,107.9114,
2022-02-23,100000,108.7252,
2022-02-24,100000,108.0873,
2022-02-25,100000,107.1192,
2022-02-28,100000,106.3702,
2022-03-01,100000,105.1849,
2022-03-02,100000,108.1318,
2022-03-03,100000,110.9293,
2022-03-04,100000,108.9399,
2022-03-07,100000,107.2035,
2022-03-08,100000,107.2413,
2022-03-09,100000,108.2225,
2022-03-10,100000,107.7022,
2022-03-11,100000,106.0772,
2022-03-14,100000,105.7021,
2022-03-15,100000,104.1993,
2022-03-16,100000,104.083,
2022-03-17,100000,103.5771,
2022-03-18,100000,103.0288,
2022-03-21,100000,104.6491,
2022-03-22,100000,102.6478,
