amfi_code,var_95,cvar_95
SCH_01,-0.02013634536124226,-0.02356122388706734
SCH_02,-0.018259969895652095,-0.02347427265124782
SCH_03,-0.01898358913983509,-0.02364920941812203
SCH_04,-0.019022899019511506,-0.023272578942912365
SCH_05,-0.020262383722673295,-0.024748116870288436
SCH_06,-0.0200335779108628,-0.02533377572909971
SCH_07,-0.01940615019728988,-0.0246033715545203
SCH_08,-0.0193133935655385,-0.02412209910520006
SCH_09,-0.020139380237162156,-0.025012102235657554
SCH_10,-0.01982347235561232,-0.024370867504859412
SCH_11,-0.019550090647877605,-0.02441312734022152
SCH_12,-0.020024596074939404,-0.02492623341075418
SCH_13,-0.018162430597718594,-0.0222657413887761
SCH_14,-0.019124515519374934,-0.024228171177310114
SCH_15,-0.019253860156085174,-0.0254934154073687
SCH_16,-0.01942583389245245,-0.024297157316981934
SCH_17,-0.018505147324426662,-0.022235042946364764
SCH_18,-0.018774798638363413,-0.02335691757260235
SCH_19,-0.01892443374663244,-0.023604537094888307
SCH_20,-0.018080973228477515,-0.02265058818416709
SCH_21,-0.019101748620593755,-0.024696734641032014
SCH_22,-0.018952873318133168,-0.023698474048287
SCH_23,-0.01779143375035151,-0.022072247226857074
SCH_24,-0.019219768231954294,-0.025250802661803157
SCH_25,-0.018074339197000584,-0.022567783177534887
SCH_26,-0.018768539195594597,-0.023741741645380596
SCH_27,-0.019965848437706678,-0.02340110650534535
SCH_28,-0.019171370853387548,-0.023850527222270372
SCH_29,-0.01976600929024943,-0.025167706566910336
SCH_30,-0.018143354194120935,-0.023577398578217494
SCH_31,-0.019872340017522104,-0.025103016515073306
SCH_32,-0.0178317979340106,-0.023064113164120634
SCH_33,-0.018975925809827026,-0.023689874741884977
SCH_34,-0.016727418949270826,-0.022011163190355378
SCH_35,-0.020651945678437283,-0.02547731332495398
SCH_36,-0.0181443884642249,-0.02239885927833091
SCH_37,-0.020378220400810214,-0.025674411695521863
SCH_38,-0.018503770788176936,-0.023638690880717697
SCH_39,-0.018928840557266104,-0.02337957845412554
SCH_40,-0.01947559860113207,-0.023961550183107642
